num_variables,num_clauses,ratio_clauses_variables,CONTRADICTS,NEUTRAL,ENTAILS
20,5,0.25,0,97,3
20,10,0.5,0,84,16
20,15,0.75,0,75,25
20,20,1,0,46,54
20,25,1.25,0,30,70
20,30,1.5,0,14,86
20,35,1.75,0,7,93
20,40,2,0,5,95
20,45,2.25,0,3,97
20,50,2.5,0,0,100
20,55,2.75,0,0,100
20,60,3,0,0,100
20,65,3.25,0,0,100
20,70,3.5,0,0,100
25,5,0.2,0,97,3
25,10,0.4,0,89,11
25,15,0.6,0,87,13
25,20,0.8,0,58,42
25,25,1,0,44,56
25,30,1.2,0,26,74
25,35,1.4,0,16,84
25,40,1.6,0,8,92
25,45,1.8,0,6,94
25,50,2,0,0,100
25,55,2.2,0,0,100
25,60,2.4,0,0,100
25,65,2.6,0,1,99
25,70,2.8,0,0,100
30,5,0.166666667,0,98,2
30,10,0.333333333,0,93,7
30,15,0.5,0,84,16
30,20,0.666666667,0,65,35
30,25,0.833333333,0,63,37
30,30,1,0,44,56
30,35,1.166666667,0,25,75
30,40,1.333333333,0,12,88
30,45,1.5,0,6,94
30,50,1.666666667,0,1,99
30,55,1.833333333,0,0,100
30,60,2,0,1,99
30,65,2.166666667,0,0,100
30,70,2.333333333,0,0,100
35,5,0.142857143,0,99,1
35,10,0.285714286,0,94,6
35,15,0.428571429,0,90,10
35,20,0.571428571,0,74,26
35,25,0.714285714,0,56,44
35,30,0.857142857,0,45,55
35,35,1,0,25,75
35,40,1.142857143,0,19,81
35,45,1.285714286,0,14,86
35,50,1.428571429,0,5,95
35,55,1.571428571,0,2,98
35,60,1.714285714,0,1,99
35,65,1.857142857,0,1,99
35,70,2,0,0,100
40,5,0.125,0,99,1
40,10,0.25,0,93,7
40,15,0.375,0,84,16
40,20,0.5,0,78,22
40,25,0.625,0,66,34
40,30,0.75,0,55,45
40,35,0.875,0,32,68
40,40,1,0,28,72
40,45,1.125,0,23,77
40,50,1.25,0,8,92
40,55,1.375,0,2,98
40,60,1.5,0,3,97
40,65,1.625,0,0,100
40,70,1.75,0,1,99
45,5,0.111111111,0,100,0
45,10,0.222222222,0,95,5
45,15,0.333333333,0,85,15
45,20,0.444444444,0,75,25
45,25,0.555555556,0,65,35
45,30,0.666666667,0,52,48
45,35,0.777777778,0,40,60
45,40,0.888888889,0,31,69
45,45,1,0,14,86
45,50,1.111111111,0,10,90
45,55,1.222222222,0,7,93
45,60,1.333333333,0,2,98
45,65,1.444444444,0,5,95
45,70,1.555555556,0,0,100
50,5,0.1,0,100,0
50,10,0.2,0,96,4
50,15,0.3,0,84,16
50,20,0.4,0,80,20
50,25,0.5,0,72,28
50,30,0.6,0,57,43
50,35,0.7,0,52,48
50,40,0.8,0,37,63
50,45,0.9,0,24,76
50,50,1,0,23,77
50,55,1.1,0,5,95
50,60,1.2,0,5,95
50,65,1.3,0,5,95
50,70,1.4,0,3,97
,,,,,
20,20,1,0,48,52
20,40,2,0,5,95
20,60,3,0,0,100
20,80,4,0,0,100
20,100,5,0,0,100
20,120,6,0,0,100
25,25,1,0,35,65
25,50,2,0,1,99
25,75,3,0,0,100
25,100,4,0,0,100
25,125,5,0,0,100
25,150,6,0,0,100
30,30,1,0,37,63
30,60,2,0,0,100
30,90,3,0,0,100
30,120,4,0,0,100
30,150,5,0,0,100
30,180,6,0,0,100
35,35,1,0,26,74
35,70,2,0,1,99
35,105,3,0,0,100
35,140,4,0,0,100
35,175,5,0,0,100
35,210,6,0,0,100
40,40,1,0,19,81
40,80,2,0,0,100
40,120,3,0,0,100
40,160,4,0,0,100
40,200,5,0,0,100
40,240,6,0,0,100
45,45,1,0,23,77
45,90,2,0,0,100
45,135,3,0,0,100
45,180,4,0,0,100
45,225,5,0,0,100
45,270,6,0,0,100
50,50,1,0,15,85
50,100,2,0,0,100
50,150,3,0,0,100
50,200,4,0,0,100
50,250,5,0,0,100
50,300,6,0,0,100
